City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Swan River,CA,2021-01-30 17:00:24,52.1058,-101.2676,14.0,92,100,1.14
68,Yellowknife,CA,2021-01-30 17:00:24,62.456,-114.3525,-17.0,76,40,5.75
69,Hobart,AU,2021-01-30 17:00:04,-42.8794,147.3294,54.0,81,40,4.61
70,Shwebo,MM,2021-01-30 17:00:24,22.5667,95.7,67.51,50,1,7.02
71,Castro,BR,2021-01-30 16:59:20,-24.7911,-50.0119,72.63,86,90,5.97
72,Sur,OM,2021-01-30 17:00:25,22.5667,59.5289,67.6,57,0,9.82
73,Thompson,CA,2021-01-30 16:59:45,55.7435,-97.8558,10.4,92,90,2.3
74,Jeremie,HT,2021-01-30 17:00:25,18.65,-74.1167,76.6,72,59,13.18
75,Jining,CN,2021-01-30 16:58:11,35.405,116.5814,41.67,61,86,7.25
76,Safaga,EG,2021-01-30 17:00:25,26.7292,33.9365,66.2,39,0,1.01
77,Asau,RO,2021-01-30 17:00:26,46.4333,26.4,41.0,70,0,6.91
78,Sao Joao Da Barra,BR,2021-01-30 17:00:26,-21.6403,-41.0511,89.6,40,0,16.11
79,Ouango,CF,2021-01-30 17:00:26,4.3133,22.5552,86.02,20,15,2.77
80,Helena,US,2021-01-30 16:58:10,46.5927,-112.0361,35.6,64,1,9.22
81,Auki,SB,2021-01-30 17:00:26,-8.7676,160.7034,79.3,85,98,10.0
82,Sorland,NO,2021-01-30 17:00:27,67.667,12.6934,30.92,92,11,8.52
83,Cabo San Lucas,MX,2021-01-30 17:00:00,22.8909,-109.9124,73.0,68,1,2.13
84,Codrington,AU,2021-01-30 17:00:27,-38.2667,141.9667,55.89,81,20,4.72
85,Cortes,ES,2021-01-30 17:00:27,41.9395,-1.4396,59.0,62,75,21.85
86,Abriaqui,CO,2021-01-30 17:00:27,6.6315,-76.0644,73.31,54,89,1.32
87,Salalah,OM,2021-01-30 17:00:27,17.0151,54.0924,73.4,56,20,3.44
88,Kurchum,KZ,2021-01-30 17:00:27,48.5722,83.6542,-6.07,91,12,1.41
89,Kapit,MY,2021-01-30 17:00:28,2.0167,112.9333,74.34,95,100,0.92
90,Ocos,GT,2021-01-30 17:00:28,14.5094,-92.1933,84.2,65,1,7.2
