City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Launceston,AU,-41.45,147.1667,57.0,94,75,5.75,broken clouds
79,Helena,US,46.5927,-112.0361,39.0,55,1,3.69,clear sky
80,Rio Grande,BR,-32.035,-52.0986,82.4,69,75,11.5,broken clouds
81,Chibombo,ZM,-14.6569,28.0706,66.94,94,100,3.96,light rain
82,Tahta,EG,26.7693,31.5021,59.0,51,0,9.22,clear sky
83,Ewa Beach,US,21.3156,-158.0072,75.2,78,75,5.75,broken clouds
84,Bowen,AU,-20.0167,148.2333,75.2,88,40,9.22,scattered clouds
85,Portland,US,45.5234,-122.6762,52.0,91,100,5.75,light rain
86,Punta Arenas,CL,-53.15,-70.9167,57.2,54,0,28.77,clear sky
87,Sabang,ID,5.8933,95.3214,81.77,76,64,24.09,broken clouds
88,La Romana,DO,18.4273,-68.9728,78.8,73,75,11.5,broken clouds
89,Eirunepe,BR,-6.6603,-69.8736,80.83,81,100,4.74,heavy intensity rain
90,Aykhal,RU,66.0,111.5,-40.02,79,100,9.73,overcast clouds
91,Bengkulu,ID,-3.8004,102.2655,75.76,87,100,5.46,overcast clouds
92,Ancud,CL,-41.8697,-73.8203,71.6,46,0,6.91,clear sky
93,Poum,NC,-20.2333,164.0167,78.94,74,100,14.99,overcast clouds
94,Guarapari,BR,-20.6667,-40.4975,84.2,65,20,20.71,few clouds
95,Chokurdakh,RU,70.6333,147.9167,-26.61,86,60,11.81,broken clouds
96,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.6,54,1,6.91,clear sky
97,Bambous Virieux,MU,-20.3428,57.7575,81.0,78,75,11.5,broken clouds
98,Yellowknife,CA,62.456,-114.3525,-5.01,84,75,5.75,broken clouds
99,Berlevag,NO,70.8578,29.0864,28.4,80,75,19.57,light snow
100,Isangel,VU,-19.55,169.2667,75.2,94,90,16.64,overcast clouds
101,Moroni,KM,-11.7022,43.2551,80.91,74,15,6.89,few clouds
102,Klaksvik,FO,62.2266,-6.589,28.4,74,75,6.91,light snow
103,Chapleau,CA,47.8405,-83.4034,14.0,52,20,9.22,few clouds
104,Lodja,CD,-3.4833,23.4333,71.17,89,93,1.19,overcast clouds
105,Marietta,US,33.9526,-84.5499,45.0,100,90,3.44,mist
106,Talnakh,RU,69.4865,88.3972,-25.2,73,88,9.26,overcast clouds
107,Katsuura,JP,35.1333,140.3,41.0,48,75,6.91,broken clouds
108,Abu Samrah,SY,35.3029,37.1841,48.04,86,2,7.31,clear sky
109,Dudinka,RU,69.4058,86.1778,-14.75,88,100,10.56,overcast clouds
110,Hasaki,JP,35.7333,140.8333,35.6,60,75,8.05,broken clouds
111,Palu,ID,-0.8917,119.8707,74.46,82,97,1.79,overcast clouds
112,Salihorsk,BY,52.7876,27.5415,18.75,98,93,8.72,overcast clouds
113,Jamestown,US,42.097,-79.2353,32.0,74,90,11.5,overcast clouds
114,Ponta Do Sol,PT,32.6667,-17.1,59.0,73,0,1.99,clear sky
